DATAFLOW,LAST UPDATE,freq,product,consom,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,1993-S2,0.2249,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,1994-S1,0.2272,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,1994-S2,0.2270,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,1995-S1,0.2313,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,1995-S2,0.2381,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,1996-S1,0.2479,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,1996-S2,0.2457,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,1997-S1,0.2537,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,1997-S2,0.2504,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,1998-S1,0.2740,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,1998-S2,0.2771,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,1999-S1,0.2880,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,1999-S2,0.2944,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2000-S1,0.3032,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2000-S2,0.3035,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2001-S1,0.3045,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2001-S2,0.3076,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2002-S1,0.3277,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2002-S2,0.3237,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2003-S1,0.3435,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2003-S2,0.3244,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2004-S1,0.3298,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2004-S2,0.3282,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2005-S1,0.3327,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2005-S2,0.3411,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2006-S1,0.3492,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2006-S2,0.3671,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2007-S1,0.3905,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,DK,2007-S2,0.3651,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EA,2003-S2,0.1793,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EA,2004-S1,0.1830,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EA,2004-S2,0.1826,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,EA,2005-S1,0.1894,
