Date,Price,Open,High,Low,Vol.,Change %
1/9/06,2594.49,2564.62,2597.80,2488.07,,1.16%
1/8/06,2564.62,2460.26,2584.14,2441.29,,4.20%
1/7/06,2461.19,2435.03,2476.52,2325.07,,0.82%
1/6/06,2441.08,2460.48,2531.09,2220.92,,-0.79%
1/5/06,2460.48,2675.24,2743.31,2323.12,,-7.79%
1/4/06,2668.35,2711.62,2818.91,2659.73,,-1.60%
1/3/06,2711.62,2568.09,2743.56,2563.20,,5.59%
1/2/06,2568.09,2431.62,2619.96,2425.27,,5.67%
1/1/06,2430.26,2301.26,2439.56,2300.84,,5.61%
1/12/05,2301.26,2179.03,2311.04,2179.03,,5.61%
1/11/05,2179.03,2125.64,2213.64,2125.64,,1.69%
1/10/05,2142.77,2263.41,2274.69,2045.80,,-5.33%
1/9/05,2263.41,2147.61,2266.48,2147.61,,5.39%
1/8/05,2147.61,2128.30,2151.81,2089.95,,1.23%
1/7/05,2121.45,2052.86,2147.29,2009.52,,3.34%
1/6/05,2052.86,1988.45,2068.38,1985.45,,3.24%
1/5/05,1988.45,1854.21,1988.45,1854.21,,7.31%
1/4/05,1853.00,1955.48,1980.77,1845.59,,-5.12%
1/3/05,1952.95,1962.91,2026.66,1924.16,,-0.51%
1/2/05,1962.91,1823.65,1970.73,1821.39,,7.34%
1/1/05,1828.62,1830.98,1860.34,1802.68,,-0.13%
1/12/04,1830.98,1856.15,1869.60,1787.51,,-1.36%
1/11/04,1856.15,1736.24,1872.56,1732.36,,6.91%
1/10/04,1736.24,1666.24,1743.74,1666.24,,4.20%
1/9/04,1666.24,1621.38,1680.37,1619.52,,2.77%
1/8/04,1621.38,1607.08,1631.43,1557.65,,0.89%
1/7/04,1607.08,1626.09,1636.68,1546.07,,-1.17%
1/6/04,1626.09,1551.55,1634.25,1543.95,,4.80%
1/5/04,1551.55,1601.09,1601.09,1499.74,,-3.09%
1/4/04,1601.09,1617.56,1683.91,1586.46,,-1.02%
1/3/04,1617.56,1658.37,1717.66,1577.80,,-2.46%
1/2/04,1658.37,1588.13,1820.49,1576.81,,4.42%
1/1/04,1588.13,1530.98,1632.55,1530.98,,3.73%
1/12/03,1530.98,1553.40,1579.22,1499.81,,-1.44%
1/11/03,1553.40,1510.50,1569.02,1506.53,,2.84%
1/10/03,1510.50,1376.44,1516.98,1362.44,,9.74%
1/9/03,1376.44,1413.19,1482.94,1372.92,,-2.60%
1/8/03,1413.19,1322.97,1424.19,1282.85,,6.54%
1/7/03,1326.38,1255.30,1341.47,1231.79,,5.55%
1/6/03,1256.63,1219.67,1279.72,1219.65,,3.26%
1/5/03,1216.91,1241.74,1260.54,1181.53,,-1.76%
1/4/03,1238.65,1107.38,1244.60,1104.84,,10.79%
1/3/03,1118.04,1168.09,1226.37,1088.04,,-4.68%
1/2/03,1172.88,1214.23,1239.81,1136.43,,-3.82%
1/1/03,1219.47,1293.16,1370.24,1203.81,,-5.40%
1/12/02,1289.07,1388.09,1419.53,1273.48,,-7.03%
1/11/02,1386.53,1242.03,1393.57,1216.42,,12.20%
1/10/02,1235.79,1135.92,1258.79,1085.51,,9.01%
1/9/02,1133.62,1270.41,1293.87,1119.82,,-10.89%
1/8/02,1272.19,1262.04,1326.58,1145.22,,0.31%
1/7/02,1268.24,1444.91,1469.38,1145.12,,-11.93%
1/6/02,1440.05,1538.57,1540.21,1358.30,,-6.33%
1/5/02,1537.38,1576.74,1628.45,1517.36,,-2.50%
1/4/02,1576.74,1678.08,1695.97,1537.86,,-6.04%
1/3/02,1678.08,1642.58,1731.81,1636.70,,2.16%
1/2/02,1642.58,1591.13,1658.70,1562.32,,3.23%
1/1/02,1591.13,1600.99,1705.72,1556.07,,-0.62%
1/12/01,1600.99,1559.67,1619.00,1534.30,,2.65%
1/11/01,1559.67,1469.02,1612.65,1433.86,,6.17%
1/10/01,1469.02,1250.21,1520.37,1233.95,,17.50%
1/9/01,1250.21,1415.19,1421.99,1143.30,,-11.66%
1/8/01,1415.19,1546.21,1593.16,1403.50,,-8.47%
1/7/01,1546.21,1693.13,1705.24,1475.52,,-8.68%
1/6/01,1693.13,1896.41,1948.50,1606.42,,-10.72%
1/5/01,1896.41,1943.56,2010.46,1849.06,,12.26%
1/4/01,1689.31,1623.36,1955.47,1530.50,,4.06%
1/3/01,1623.36,1746.19,1867.23,1590.33,,-7.03%
1/2/01,1746.19,2167.00,2167.00,1682.69,,-19.42%
1/1/01,2167.14,2321.51,2359.23,2100.73,,-6.65%
1/12/00,2321.51,2276.59,2602.15,2229.59,,1.97%
1/11/00,2276.59,2429.16,2485.52,2161.42,,-5.76%
1/10/00,2415.77,2447.36,2505.73,1970.93,,-1.29%
1/9/00,2447.36,2646.50,2859.89,2364.65,,-7.52%
1/8/00,2646.50,2670.41,2689.98,2411.26,,-0.90%
1/7/00,2670.41,2769.44,3085.34,2667.24,,-3.41%
1/6/00,2764.66,2902.05,3123.99,2699.55,,-4.71%
1/5/00,2901.45,3171.69,3283.97,2675.37,,-8.50%
1/4/00,3170.85,3189.06,3230.29,2571.70,,-0.57%
1/3/00,3189.06,3239.69,3536.39,3016.88,,-1.56%
1/2/00,3239.69,3235.50,3485.67,3130.19,,0.15%
1/1/00,3234.78,3222.83,3411.54,2760.86,,0.37%
1/12/99,3222.83,2463.82,3288.93,2413.95,,30.81%
1/11/99,2463.82,2034.30,2494.04,2022.15,,21.11%
1/10/99,2034.30,1885.33,2043.30,1826.78,,7.90%
1/9/99,1885.33,1846.73,1951.38,1789.44,,2.09%
1/8/99,1846.73,1830.66,1913.41,1763.34,,0.85%
1/7/99,1831.10,1786.78,1984.40,1781.63,,2.48%
1/6/99,1786.79,1652.88,1858.11,1652.88,,8.10%
1/5/99,1652.88,1702.20,1726.89,1634.61,,-2.90%
1/4/99,1702.20,1566.37,1705.28,1553.07,,8.67%
1/3/99,1566.37,1483.79,1570.37,1437.49,,5.57%
1/2/99,1483.79,1521.83,1525.80,1415.99,,-2.56%
1/1/99,1522.81,1487.08,1609.60,1465.06,,2.41%
1/12/98,1486.97,1381.95,1518.89,1325.05,,7.60%
1/11/98,1381.95,1262.91,1425.24,1234.94,,9.43%
1/10/98,1262.91,1200.22,1305.32,999.01,,5.22%
1/9/98,1200.22,1292.54,1375.26,1124.57,,-7.14%
1/8/98,1292.54,1634.35,1640.94,1251.25,,-20.91%
1/7/98,1634.36,1630.56,1732.20,1627.68,,0.23%
1/6/98,1630.56,1600.24,1637.89,1502.74,,1.89%
1/5/98,1600.24,1597.40,1665.84,1582.74,,0.18%
1/4/98,1597.40,1435.45,1638.42,1432.61,,11.28%
1/3/98,1435.45,1384.71,1457.72,1339.29,,3.66%
1/2/98,1384.71,1217.03,1385.32,1209.52,,13.89%
1/1/98,1215.80,1131.33,1218.26,1090.49,,7.47%
