Quarter,double_pca_fci,0.05,0.25,0.5,0.75,0.95,ols,realized_ggdp_growth
2000-04-01,-0.8129853652506726,-0.8498439957717601,2.4843640957940654,4.980944596785852,7.75568655175145,11.861956101846983,5.129395054810754,5.484447292952805
2000-07-01,-1.4348585626398307,-0.004660782484704917,2.8991118491871517,5.559034215370964,8.395793308146061,12.859513445550288,5.867109301021686,8.580946152301578
2000-10-01,-2.570471735251308,1.5387425902743357,3.6564897423679463,6.614693453574761,9.564703091508918,14.68116979720018,7.214261773804697,6.614656283233372
2001-01-01,-3.695007322417635,3.0670904994737618,4.406479628322051,7.660055034359463,10.72221049040216,16.485056406147375,8.548273155074494,4.406479180462881
2001-04-01,0.27192700601138053,-2.324340288469077,1.7608002398529943,3.972416521393219,6.638964136544418,10.121629765592674,3.8423878071424613,3.0035163625407537
2001-07-01,0.6758764404699023,-2.873344944811409,1.4913930341244646,3.5969075342328254,6.223170750812,9.473647626274444,3.36319164014249,4.95295214037379
2001-10-01,1.006524895893532,-3.3227267885644602,1.2708726698032682,3.289538700386803,5.882827556738529,8.943248830705212,2.9709507828781296,1.5007111366825152
2002-01-01,1.4435175022944242,-3.9166401728543847,0.9794278824815513,2.883312977491208,5.4330221606769635,8.242261578819416,2.4525562410579784,5.037390793970152
2002-04-01,0.9469537439261795,-3.2417640812949404,1.310602636538008,3.3449156882744675,5.944145357570923,9.038807925979597,3.0416187062651083,6.32807969366279
2002-07-01,1.3431432781251826,-3.7802223152095786,1.0463707643223257,2.976620258154507,5.536339395329211,8.403273574285576,2.57162793514754,1.67652322852324
2002-10-01,-1.0990800630284847,-0.4610148309397466,2.675170089136737,5.246896523017689,8.050169655035369,12.320885459087377,5.46878278723304,6.90636297063372
2003-01-01,-0.9999652091287231,-0.5957210878666801,2.6090671228802806,5.154759945452381,7.948148715868569,12.161893640831035,5.351205055888537,-0.07521341775773363
2003-04-01,0.41384134681561524,-2.5172150080678675,1.66615288365574,3.8404937958412786,6.4928888132157105,9.893982564458376,3.674038003046623,8.07915059921205
2003-07-01,0.9603184501349993,-3.259927953585354,1.3016892730128746,3.332491937022291,5.930388793085735,9.017369374067378,3.0257644546137055,7.132249143651323
2003-10-01,-1.0360351173037858,-0.5466987453338965,2.633123334731039,5.188290317153339,7.985276207489569,12.219753992326808,5.393993980112928,3.2445121914934862
2004-01-01,0.7772323534321224,-3.0110970083553936,1.42379543163786,3.5026876815174024,6.11884304387746,9.31106088716476,3.24295539062432,7.446068611976345
2004-04-01,-1.3492682405325107,-0.12098594936542173,2.8420288394108235,5.479469961967975,8.307693445195058,12.722216558135703,5.7655754188388855,5.827837463182159
2004-07-01,-1.5640192457485258,0.17088053628971478,2.985253370273684,5.679101216727469,8.528741031678004,13.066702288056689,6.020329726632011,6.700029070204982
2004-10-01,-1.2212205736620914,-0.29501457609159787,2.7566296255764016,5.36043761387417,8.175891371961422,12.51681312385531,5.613675339464236,8.34200180672859
2005-01-01,-1.7541971541590684,0.4293499097913487,3.112089292113405,5.855889467126314,8.724495028797781,13.37176989660061,6.245933520038884,6.328540209390898
2005-04-01,-0.06674342568096164,-1.864055836743584,1.9866707248244926,4.287242536576126,6.987564514286197,10.66489674935761,4.2441449551893164,-1.8640564613035533
2005-07-01,-0.42504731250854405,-1.3770877029285646,2.225635408810954,4.620319694658082,7.356374007545737,11.2396580915137,4.669192831340259,8.116950810450787
2005-10-01,-1.463098520737713,0.03371993343691049,2.9179460089904437,5.5852859121384135,8.424861272571361,12.904813641321208,5.90060973083386,3.638799577087854
2006-01-01,-1.1276460190465294,-0.422191053682083,2.694221667708945,5.273451265509118,8.079573175764015,12.366708593651373,5.502669941076654,12.289490074544863
2006-04-01,-0.06062516128469203,-1.87237112414283,1.9825902524329002,4.281555034451751,6.981266860047514,10.655082337665899,4.236886995164407,3.4776727060827706
2006-07-01,-1.234785155104995,-0.2765790548648597,2.765676292489819,5.3730471679529055,8.189853672098685,12.538572299020665,5.629766698629305,6.177984488102872
2006-10-01,-0.38627327732198924,-1.4297852042659156,2.199775725436395,4.584275582600983,7.316463102879324,11.17746000401331,4.623196061805415,5.540470237589743
2007-01-01,-1.610664554427946,0.23427582658354673,3.016362665645053,5.722462417719054,8.576753998574091,13.141526818873935,6.075664011621594,10.032699099929438
2007-04-01,0.02913441166282601,-1.9943626886700645,1.9227266317111835,4.198115070312049,6.888875502233701,10.511097484262681,4.130407224086967,9.49636344059546
2007-07-01,-0.045105986783884555,-1.893463118181523,1.9722400029194174,4.2671285023137,6.965292657439426,10.630187766623942,4.218476946031007,6.054462456903273
2007-10-01,-0.5483985181953643,-1.209442001485062,2.3079023977272204,4.7349862404215655,7.483341917565092,11.437527852751444,4.815521603997617,7.615465152562581
2008-01-01,-0.9168948374556782,-0.7086214089519733,2.553664751191694,5.07753822295685,7.862642689258369,12.028639048649676,5.2526605344675685,2.091877564559345
2008-04-01,-0.6355866161361633,-1.0909453094144486,2.366051016923834,4.816035776718298,7.573086403745569,11.577387759480853,4.918950891866911,-0.42953034899686804
2008-07-01,0.017289068181660983,-1.9782637709036586,1.9306266821034634,4.209126431026396,6.901068155697368,10.530098800653118,4.144459089763128,3.858692693172024
2008-10-01,0.24008551251062565,-2.2810647527074255,1.7820363824453471,4.00201618400983,6.671739234762349,10.172707245390026,3.880160657740877,-5.258535191531813
2009-01-01,2.169919605168627,-4.903887840101084,0.4949663531988271,2.2080539112491415,4.685321671475694,7.077027644882522,1.590841695363327,-19.53625690208445
2009-04-01,1.610800447998216,-4.143993173709925,0.8678613666662569,2.727807747994747,5.260834415290693,7.973920168281488,2.25411222914056,0.9217240106072465
2009-07-01,2.092558948335739,-4.7987475497677465,0.5465607276744573,2.2799679168531357,4.764950572231917,7.201123186644656,1.6826129099476774,6.078623464759348
2009-10-01,4.40167628355461,-7.937051656506455,-0.9934658100889038,0.13342620193564336,2.388129037251753,3.4970289036123683,-1.0566412684207531,-0.3156666644568623
2010-01-01,2.4431942652058876,-5.275293387485825,0.31271046600903585,1.9540194157070276,4.404034494321754,6.6386631276261205,1.2666620865872642,6.377503726831329
2010-04-01,-1.6352514767149093,0.2676917288455809,3.032760495337955,5.7453182741649105,8.602061818787133,13.180967117940359,6.104830926866894,13.376413876119992
2010-07-01,-2.0414772162375754,0.8197900943823471,3.3036858440180623,6.122943300948558,9.020198251715172,13.832600716821053,6.586727423582942,1.0185476251867445
2010-10-01,-1.0456629736944207,-0.5336135976937244,2.6395444698189827,5.197240315082212,7.995186356296619,12.235198200063886,5.405415290517787,10.702013334325953
2011-01-01,-1.1206022361381485,-0.4317642063717244,2.6895239364851125,5.266903406890998,8.072322866457936,12.355409542016398,5.494314059169304,4.670752970483704
2011-04-01,-0.5372157069499122,-1.2246404766431727,2.300444211942494,4.724590765725544,7.471831222034633,11.419589315557715,4.802255685474205,1.9008299187590019
2011-07-01,-0.08635948084185688,-1.837395802829103,1.9997533192224708,4.3054775045627105,7.007755719655739,10.696363196154792,4.267415042093538,3.014400527654116
2011-10-01,-0.8841825303671214,-0.7530804609503792,2.5318478342860544,5.047129057218149,7.828971244866567,11.976164682006011,5.213854657213216,2.6578824023227345
2012-01-01,-0.11216042211621391,-1.8023299364376215,2.0169608182333505,4.329461905824976,7.034313154355278,10.737750923670223,4.298022120873674,0.9211199772307409
2012-04-01,0.49725181192222595,-2.630577547596094,1.6105236924352817,3.762955924516503,6.407032721502938,9.760182422631814,3.575090036402355,-1.3625964818511926
2012-07-01,1.827196971583382,-4.438096071078254,0.723539385310856,2.526646829164844,5.038093063213271,7.626794834434433,1.9974058797601453,1.1129576757039197
2012-10-01,0.9942029775913753,-3.3059801615218407,1.279090563667754,3.300993082214861,5.895510758378456,8.963014628849324,2.9855679985907724,2.2628432127313958
2013-01-01,-0.23247412566571946,-1.6388124814397933,2.097201996755043,4.441304807701918,7.158154501517734,10.930748176209548,4.440747572775288,-0.6288169268009975
2013-04-01,1.254494376843683,-3.659740256239961,1.1054936414645276,3.0590277485319097,5.627587516160727,8.545476780430912,2.6767901413028636,4.298465941189439
2013-07-01,-0.20328036541782954,-1.678489502732613,2.077731714828209,4.414166462139476,7.128104769100106,10.883917970232087,4.406115668834495,3.871917927921821
2013-10-01,-0.6677564014815819,-1.0472235946611095,2.3875061081790387,4.845940617477435,7.606199419450089,11.628991857794482,4.957113187728027,1.8803369194726134
2014-01-01,-0.339356844406983,-1.4935489774813373,2.1684856083668547,4.540662346135612,7.268171062281799,11.102200558211146,4.567540148207421,-0.31671410621101315
2014-04-01,0.17920744325112903,-2.198325823917004,1.822637975442584,4.0586080744244235,6.734402272199669,10.270362788859742,3.9523789478410083,3.1644813023646163
2014-07-01,-0.5997425251924854,-1.1396607454363248,2.3421454100352888,4.782715323370002,7.536191350403187,11.519889645236095,4.876429849566572,4.015380341082855
2014-10-01,-0.6102790089526543,-1.1253406891313515,2.349172538695182,4.792509975887134,7.547036767880321,11.536791397548132,4.888929044269736,1.6578712740484434
2015-01-01,0.28034525472573163,-2.335781467359751,1.7551858320341018,3.964590967552235,6.630299061571433,10.10812591004563,3.8324014272328646,-0.33696813284533716
2015-04-01,-0.17477927761419995,-1.7172251180850364,2.058723399008453,4.387672020753621,7.098768018546628,10.838198891871082,4.372305466700814,8.4067855860215
2015-07-01,-0.15901022580747176,-1.738656718502059,2.0482064980752117,4.3730132041609915,7.082536612134837,10.812903488404455,4.353598993715805,2.517897495919058
2015-10-01,0.2227977585581808,-2.257569095558369,1.7935661559475522,4.018086777067257,6.689533872245209,10.200438824727742,3.9006687330675693,4.679451559895123
2016-01-01,-0.5655091195828875,-1.1861871110625521,2.319314022338916,4.750892153510284,7.500954208302354,11.464975258655034,4.835819527204159,7.277643251359573
2016-04-01,-0.8892797423921188,-0.746152878195278,2.5352473331626926,5.051867395142583,7.834217909089555,11.9843412062706,5.219901365678197,3.1404812197965417
2016-07-01,2.297260618303861,-5.076956059018896,0.41003843005569895,2.0896784642566533,4.554246971333907,6.872757765844499,1.4397799034880796,6.872772462593045
2016-10-01,1.1199463766618467,-3.4768770751084084,1.1952281420560174,3.184102767736883,5.766080514954307,8.761307509630182,2.836401420499413,3.7153021489917
2017-01-01,0.5561361749170355,-2.710606845107642,1.571251767926213,3.708217371565177,6.3464218465573445,9.66572501719711,3.505236835391759,6.449060108854579
2017-04-01,0.5407390163803736,-2.6896806820535963,1.5815206409674183,3.7225304783900457,6.362270455646746,9.690423860361433,3.5235021397196373,7.435402853798576
2017-07-01,-0.434838580367054,-1.36378046398411,2.232165528398413,4.629421598913732,7.36645235910714,11.255364430358066,4.680807993109596,3.963313987924255
2017-10-01,0.3730934979365153,-2.4618349112977196,1.6933289685057706,3.8783727533451215,6.534831404543917,9.959346879981403,3.7223762635581963,5.009906677624865
2018-01-01,-0.5706567121270073,-1.1791910565205694,2.3227471216460094,4.755677324865079,7.506252730220474,11.473232599164865,4.8419260009506235,3.5936015941477355
2018-04-01,-0.702697650512148,-0.9997352043334643,2.410809580007407,4.878421794363287,7.642165159210594,11.685041708013054,4.99856320888744,2.1104702124800756
2018-07-01,-0.12485803899107482,-1.7850727002736595,2.0254292778717535,4.341265534807453,7.047383070193157,10.758119386267145,4.313085019388741,2.202475780154774
2018-10-01,0.1445564011262997,-2.151231851625284,1.8457478987104439,4.090819476700029,6.770069296077428,10.32594711325854,3.993484703047797,2.699466909688323
2019-01-01,-0.12253409198946646,-1.7882311592691178,2.0238793609401857,4.339105207523029,7.044990984180321,10.754391503464726,4.310328173109269,4.944112574461425
2019-04-01,0.38124442233138106,-2.4729127717043666,1.6878928480956286,3.87079570259856,6.526441491941283,9.946271843909411,3.712707004501646,5.717283210277452
2019-07-01,0.39238796371774287,-2.488057875490579,1.6804608526755973,3.8604367329295424,6.51497121767714,9.928396300162717,3.699487670932562,2.854487677755011
2019-10-01,1.330326157035446,-3.762802661760623,1.0549189252645457,2.9885349775430132,5.549532319291061,8.423833735620525,2.586832598836225,2.168544601774137
2020-01-01,-0.2930892813875431,-1.5564308764728136,2.1376282440394494,4.497652295258579,7.220546916692318,11.02798197561413,4.51265397443405,1.2264257485986945
2020-04-01,0.3753921922594123,-2.4649590495663363,1.691795893418821,3.8762359008003484,6.532465311627949,9.955659505429225,3.719649373965905,-19.072295150482702
2020-07-01,0.6678151567469663,-2.8623889143718046,1.4967693702128964,3.6044012555449245,6.23146839444406,9.486578868224171,3.372754560477577,22.97793461329604
2020-10-01,0.33164502151671693,-2.4055025968750803,1.7209723249791644,3.9169030100357967,6.577495166079169,10.025835084026012,3.771545662829618,5.830277130335032
2021-01-01,0.7858979170843754,-3.02287431112918,1.4180160813269835,3.4946322251838806,6.1099234025983975,9.297160309531046,3.232675626542907,0.7414361990386596
2021-04-01,2.6493480032966277,-5.5554753916663895,0.175219736249838,1.7623801292365524,4.191836250110709,6.307968419721523,1.0221065242352085,8.226230260882332
2021-07-01,-1.393784853195699,-0.060483753912570215,2.871718437174873,5.520852339827653,8.353515301896943,12.793626411567878,5.818384479419988,6.693300633454256
2021-10-01,-0.16159346853055562,-1.7351458526301051,2.049929347878622,4.3754145712029695,7.085195596518463,10.817047311871683,4.356663436702318,5.681908681539034
2022-01-01,0.3127072533922475,-2.379764417800757,1.7336025473731804,3.934507446435195,6.596988196778033,10.056213479083443,3.794011113013858,1.73359479508328
2022-04-01,-0.46424870272476243,-1.3238093865654148,2.2517801093549266,4.656761073404171,7.396724797454054,11.302541706465666,4.715696562575488,4.532942322689058
2022-07-01,-0.059006037494326896,-1.8745716631813278,1.9815104053558137,4.280049906624496,6.979600262930926,10.652485073731347,4.234966264874782,1.8443015611451268
2022-10-01,1.0606242423255179,-3.3962528058394934,1.234792030716552,3.2392482703186305,5.82714199686389,8.856467151498984,2.906773939847859,-1.3135516849874063
2023-01-01,1.6678645722197334,-4.221548598313266,0.829803419451967,2.674761278160372,5.2020971492125145,7.882382638736619,2.1864183366195418,2.7871013353328573
2023-04-01,1.695424464028772,-4.259005041226065,0.8114228182947791,2.649141766962554,5.17372919087867,7.838173348834436,2.1537246542146438,4.158160274473999
2023-07-01,0.41029719625535765,-2.5123981795384056,1.6685165945999083,3.843788417082698,6.496536879620285,9.89966779648545,3.678242349479296,-2.0148070623530803
2023-10-01,3.57885478806447,-6.8187611136117035,-0.4446990066138248,0.8983161609956789,3.235075972384513,4.8169308206417245,-0.0805465567334025,
2024-01-01,1.4535392443475212,-3.9302606475536184,0.9727440520494673,2.8739968257976534,5.422706577329805,8.226185532410376,2.4406676729134436,
2024-04-01,1.502491377366453,-3.9967911255608657,0.9400962594148279,2.828491214646297,5.372319149125953,8.147660585543406,2.3825968538749445,
2024-07-01,1.9347484836997775,-4.58426852711278,0.6518097333310329,2.426667584394931,4.927388099797586,7.454269629636185,1.8698199297257982,
